DATE,BOOK,EVENT_TYPE,NUMBER,MAIN ITEM,PROJECT,TRANSACTION,VENDOR,CODE,EXPLANATION,AMOUNT, UNIT_PRICE , TOTAL_AMOUNT , ,,
7/18/2017,NKASA-I,OUT,,LOAN,S BV TO FB,LOAN TRANSFER,FB,,FB,1," € 40,000.00 "," € 40,000.00 ","-€ 40,000.00 ",,
7/20/2017,NKASA-I,IN,,CP,,,BA,,BA,1," € 100,000.00 "," € 100,000.00 "," € 100,000.00 ",,
7/22/2017,NKASA-I,OUT,,LOAN,S BV TO FB,LOAN TRANSFER,FB,,FB,1," € 100,000.00 "," € 100,000.00 ","-€ 100,000.00 ",,
7/27/2017,NKASA-I,IN,,CP,,,BA,,BA,1," € 50,000.00 "," € 50,000.00 "," € 50,000.00 ",,
7/27/2017,NKASA-I,OUT,,LOAN,S BV TO FB,LOAN TRANSFER,FB,,FB,1," € 34,000.00 "," € 34,000.00 ","-€ 34,000.00 ",,
7/27/2017,NKASA-I,IN,,LOAN,GM TO S BV,LOAN TRANSFER,GM,,G dan emanet,1," € 34,000.00 "," € 34,000.00 "," € 34,000.00 ",,
7/28/2017,NKASA-I,OUT,,LOAN,S BV TO FB,LOAN TRANSFER,FB,,FB,1," € 50,000.00 "," € 50,000.00 ","-€ 50,000.00 ",,
8/3/2017,INVENTORY,INV_IN,,CONSTRUCTION,IPSILANTOU,ARCH. SERVICES,GAVALAS,,ARCHITECTURAL SERVICES,631.13, € 36.00 ," € 22,720.68 "," € 22,720.68 ",,
8/3/2017,INVENTORY,INV_IN,,CONSTRUCTION,DELIGIANNAKI,ARCH. SERVICES,GAVALAS,,ARCHITECTURAL SERVICES,805.43, € 36.00 ," € 28,995.48 "," € 28,995.48 ",,
8/3/2017,INVENTORY,INV_IN,,CONSTRUCTION,IPSILANTOU,VAT,GAVALAS,,08/03/18 Dimitris Papadokotsolis 300 EUROS INVOICE,1, € 72.00 , € 72.00 , € 72.00 ,,
8/3/2017,NKASA-A,OUT,,CONSTRUCTION,DELIGIANNAKI,ARCH. SERVICES,GAVALAS,,DOWN PAYMENT,1," € 5,000.00 "," € 5,000.00 ","-€ 5,000.00 ",,
8/3/2017,NKASA-A,OUT,,CONSTRUCTION,IPSILANTOU,ARCH. SERVICES,GAVALAS,,DOWN PAYMENT,1," € 5,000.00 "," € 5,000.00 ","-€ 5,000.00 ",,
8/3/2017,NKASA-A,IN,,CP,,,MSM,,MSM,1," € 10,000.00 "," € 10,000.00 "," € 10,000.00 ",,
8/17/2017,NKASA-A,IN,,CP,,,BA,,BA,1," € 15,000.00 "," € 15,000.00 "," € 15,000.00 ",,
8/17/2017,NKASA-A,OUT,,PLOT,DELIGIANNAKI,PLOT PAYMENT,VAZEOU-VAZEOS,,PAYMENT ON ACCOUNT,1," € 15,000.00 "," € 15,000.00 ","-€ 15,000.00 ",,
8/18/2017,NKASA-I,OUT,,LOAN,BA TO FB,OKEANIDON 3,FB,,FB,1," € 100,000.00 "," € 100,000.00 ","-€ 100,000.00 ",,
8/18/2017,NKASA-I,IN,,LOAN,BA TO FB,OKEANIDON 3,FB,,BA,1," € 250,000.00 "," € 250,000.00 "," € 250,000.00 ",,
8/21/2017,NKASA-I,OUT,,LOAN,BA TO FB,OKEANIDON 3,FB,,FB,1," € 150,000.00 "," € 150,000.00 ","-€ 150,000.00 ",,
8/21/2017,NKASA-I,OUT,,LOAN,S BV TO FB,LOAN TRANSFER,FB,,FB,1," € 16,000.00 "," € 16,000.00 ","-€ 16,000.00 ",,
8/21/2017,NKASA-I,IN,,LOAN,GM TO S BV,LOAN TRANSFER,GM,,G dan emanet,1," € 16,000.00 "," € 16,000.00 "," € 16,000.00 ",,
8/26/2017,NKASA-I,IN,,CP,,,BA,,BA,1," € 50,000.00 "," € 50,000.00 "," € 50,000.00 ",,
8/26/2017,NKASA-I,OUT,,LOAN,GM TO S BV,PAYBACK,GM,,G a iade,1," € 50,000.00 "," € 50,000.00 ","-€ 50,000.00 ",,
9/8/2017,NKASA-I,IN,,CP,,,BA,,BA,1," € 50,000.00 "," € 50,000.00 "," € 50,000.00 ",,
9/11/2017,NKASA-I,OUT,,LOAN,S BV TO FB,LOAN TRANSFER,FB,,FB,1," € 50,000.00 "," € 50,000.00 ","-€ 50,000.00 ",,
9/29/2017,NKASA-A,IN,,CP,,,BA,,BA,1," € 25,000.00 "," € 25,000.00 "," € 25,000.00 ",,
9/29/2017,NKASA-A,OUT,,PLOT,DELIGIANNAKI,PLOT PAYMENT,VAZEOU-VAZEOS,,PAYMENT ON ACCOUNT,1," € 25,000.00 "," € 25,000.00 ","-€ 25,000.00 ",,
9/30/2017,NKASA-A,IN,,CP,,,BA,,BA,1," € 8,470.00 "," € 8,470.00 "," € 8,470.00 ",,
9/30/2017,NKASA-A,OUT,,CONSTRUCTION,DELIGIANNAKI,ARCH. SERVICES,GAVALAS,,PAYMENT ON ACCOUNT,1," € 4,000.00 "," € 4,000.00 ","-€ 4,000.00 ",,
9/30/2017,NKASA-A,OUT,,GENERAL EXPENSES,SPDH,LICENCE FEES,,,"Domain,Mail services",1, € 100.00 , € 100.00 ,-€ 100.00 ,,
9/30/2017,NKASA-A,IN,,CP,,,MSM,,MSM,1, € 100.00 , € 100.00 , € 100.00 ,,
9/30/2017,NKASA-A,EXP,,FIXTURE,SPDH,STATIONARY,,,Laptop - OFFICE,1, € 470.00 , € 470.00 ,-€ 470.00 ,,
9/30/2017,NKASA-A,OUT,,CONSTRUCTION,IPSILANTOU,ARCH. SERVICES,GAVALAS,,PAYMENT ON ACCOUNT,1," € 4,000.00 "," € 4,000.00 ","-€ 4,000.00 ",,
10/3/2017,NKASA-A,IN,,CP,,,BA,,BA,1," € 8,000.00 "," € 8,000.00 "," € 8,000.00 ",,
10/10/2017,NKASA-A,EXP,,FIXTURE,SPDH,STATIONARY,,,IKEA,1," € 3,011.76 "," € 3,011.76 ","-€ 3,011.76 ",,
10/10/2017,NKASA-A,EXP,,FIXTURE,SPDH,STATIONARY,,,Cep teleofonlari,1," € 1,148.00 "," € 1,148.00 ","-€ 1,148.00 ",,
10/11/2017,NKASA-A,IN,,CP,,,BA,,BA,1," € 15,000.00 "," € 15,000.00 "," € 15,000.00 ",,
10/11/2017,NKASA-I,IN,,CP,,,BA,,B,1," € 21,000.00 "," € 21,000.00 "," € 21,000.00 ",,
10/11/2017,NKASA-A,OUT,,LOAN,S BV TO FB,LOAN TRANSFER,FB,,FB,1," € 15,000.00 "," € 15,000.00 ","-€ 15,000.00 ",,
10/11/2017,NKASA-I,OUT,,LOAN,S BV TO FB,LOAN TRANSFER,FB,,FB,1," € 100,000.00 "," € 100,000.00 ","-€ 100,000.00 ",,
10/11/2017,NKASA-I,IN,,LOAN,MSM TO S BV,LOAN TRANSFER,MSM,,G dan emanet,1," € 79,000.00 "," € 79,000.00 "," € 79,000.00 ",,
10/11/2017,NKASA-A,EXP,,FIXTURE,SPDH,STATIONARY,,,Yazici,1, € 159.00 , € 159.00 ,-€ 159.00 ,,
10/11/2017,NKASA-A,EXP,,FIXTURE,SPDH,STATIONARY,,,Televizyon,1, € 299.00 , € 299.00 ,-€ 299.00 ,,
10/11/2017,NKASA-A,EXP,,FIXTURE,SPDH,STATIONARY,,,Murekkep,1, € 125.60 , € 125.60 ,-€ 125.60 ,,
10/11/2017,NKASA-A,EXP,,FIXTURE,SPDH,STATIONARY,,,"Muftelif malz(utu, kucuk es)",1, € 235.45 , € 235.45 ,-€ 235.45 ,,
10/11/2017,NKASA-A,OUT,,GENERAL EXPENSES,SPDH,LICENCE FEES,MICROSOFT,,Microsoft Office,1, € 579.80 , € 579.80 ,-€ 579.80 ,,
10/11/2017,NKASA-A,EXP,,FIXTURE,SPDH,STATIONARY,,,Masa telefonu,1, € 54.90 , € 54.90 ,-€ 54.90 ,,
10/11/2017,NKASA-A,EXP,,FIXTURE,SPDH,STATIONARY,,,Laptop - MANAGEMENT,1, € 949.00 , € 949.00 ,-€ 949.00 ,,
10/11/2017,NKASA-A,EXP,,FIXTURE,SPDH,STATIONARY,,,IT kurulumu,1, € 40.00 , € 40.00 ,-€ 40.00 ,,
10/11/2017,NKASA-A,EXP,,FIXTURE,SPDH,STATIONARY,,,Ara kablolar,1, € 35.80 , € 35.80 ,-€ 35.80 ,,
10/13/2017,INVENTORY,INV_IN,,GENERAL EXPENSES,SPDH,LEGAL EXPENSES,KARAISKAKIS,,Tax guarantor service for a year,1, € 500.00 , € 500.00 , € 500.00 ,,
10/13/2017,INVENTORY,INV_IN,,OFFICIAL SET UP,SPDH,LEGAL SERVICES,KARAISKAKIS,,Obtaining AFM number-Karaiskakis,1, € 500.00 , € 500.00 , € 500.00 ,,
10/13/2017,INVENTORY,INV_IN,,OFFICIAL SET UP,SPDH,LEGAL SERVICES,KARAISKAKIS,,Incorporation services-Karaiskakis,1," € 7,000.00 "," € 7,000.00 "," € 7,000.00 ",,
10/13/2017,NKASA-A,OUT,,GENERAL EXPENSES,SPDH,LEGAL EXPENSES,KARAISKAKIS,,Tax guarantor service for a year,1, € 500.00 , € 500.00 ,-€ 500.00 ,,
10/13/2017,NKASA-A,OUT,,OFFICIAL SET UP,SPDH,LEGAL SERVICES,KARAISKAKIS,,Obtaining AFM number-Karaiskakis,1, € 500.00 , € 500.00 ,-€ 500.00 ,,
10/13/2017,NKASA-A,OUT,,OFFICIAL SET UP,SPDH,LEGAL SERVICES,KARAISKAKIS,,Incorporation services-Karaiskakis,1," € 7,000.00 "," € 7,000.00 ","-€ 7,000.00 ",,
10/18/2017,NKASA-A,IN,,CP,,,BA,,BA,1," € 50,000.00 "," € 50,000.00 "," € 50,000.00 ",,
10/18/2017,NKASA-I,IN,,CP,,,BA,,B,1," € 35,000.00 "," € 35,000.00 "," € 35,000.00 ",,
10/18/2017,NKASA-A,OUT,,LOAN,S BV TO FB,LOAN TRANSFER,FB,,FB,1," € 50,000.00 "," € 50,000.00 ","-€ 50,000.00 ",,
10/18/2017,NKASA-I,OUT,,LOAN,S BV TO FB,LOAN TRANSFER,FB,,FB,1," € 35,000.00 "," € 35,000.00 ","-€ 35,000.00 ",,
10/26/2017,NKASA-A,IN,,CP,,,BA,,BA,1," € 3,530.00 "," € 3,530.00 "," € 3,530.00 ",,
10/26/2017,VB-S BV,IN,,LOAN,S BV TO FB,PAYBACK,FB,,FB TO S BV,1," € 350,000.00 "," € 350,000.00 "," € 350,000.00 ",,
10/26/2017,VB-S BV,OUT,,LOAN,S BV TO SPDH,LOAN TRANSFER,SPDH,,Transfer-VB-SH,1," € 346,500.00 "," € 346,500.00 ","-€ 346,500.00 ",,
10/26/2017,VB-SH,OUT,,INTERBOOK,SPDH TO SPDH,,,,TRANSFER TO EB-SH,1," € 343,000.00 "," € 343,000.00 ","-€ 343,000.00 ",,
10/26/2017,VB-SH,IN,,LOAN,S BV TO SPDH,LOAN TRANSFER,SPDH,,S BV,1," € 346,500.00 "," € 346,500.00 "," € 346,500.00 ",,
10/26/2017,VB-S BV,OUT,,GENERAL EXPENSES,S BV,BANKING FEES,VARENGOLD,,INCOMING TRANSFER FEE,1," € 3,500.00 "," € 3,500.00 ","-€ 3,500.00 ",,
10/26/2017,NKASA-A,EXP,,GENERAL EXPENSES,SPDH,STATIONARY,,,Kaşe,1, € 17.00 , € 17.00 ,-€ 17.00 ,,
10/27/2017,EB,OUT,,GENERAL EXPENSES,SPDH,BANKING FEES,EB,,PAYMENT CHECKS FEE,1, € 275.00 , € 275.00 ,-€ 275.00 ,,
10/27/2017,EB,OUT,,GENERAL EXPENSES,SPDH,BANKING FEES,EB,,INCOMING TRANSFER FEE,1, € 8.00 , € 8.00 ,-€ 8.00 ,,
10/27/2017,MSM,IN,,LOAN,S BV TO FB,PAYBACK,FB,,FB TO MSM,1," € 75,000.00 "," € 75,000.00 "," € 75,000.00 ",,
10/27/2017,MSM,IN,,CP,,,MSM,,MSM,1, € 750.00 , € 750.00 , € 750.00 ,,
10/27/2017,EB,IN,,INTERBOOK,SPDH TO SPDH,,,,VB-SH,1," € 343,000.00 "," € 343,000.00 "," € 343,000.00 ",,
10/27/2017,NKASA-A,EXP,,PLOT,IPSILANTOU,PROPERTY TAX,TAX OFFICE,,Emlak V.-Ypsilantou,1," € 2,359.71 "," € 2,359.71 ","-€ 2,359.71 ",,
10/27/2017,EB,EXP,,PLOT,DELIGIANNAKI,TRANSFER TAX,TAX OFFICE,,DELIGIANNAKI TRANSFER TAX,1," € 16,995.00 "," € 16,995.00 ","-€ 16,995.00 ",,
10/27/2017,EB,OUT,,PLOT,DELIGIANNAKI,PLOT PAYMENT,TAX OFFICE,,DELIGIANN SELLERS' TAX FINE,1," € 1,342.89 "," € 1,342.89 ","-€ 1,342.89 ",,
10/27/2017,INVENTORY,INV_IN,,PLOT,DELIGIANNAKI,NOTARY ,THOMOPOULOU,,NOTARY FEE,1," € 8,840.72 "," € 8,840.72 "," € 8,840.72 ",,
10/27/2017,MSM,OUT,,GENERAL EXPENSES,SPDH,BANKING FEES,VARENGOLD,,INCOMING TRANSFER FEE,1, € 750.00 , € 750.00 ,-€ 750.00 ,,
10/27/2017,EB,OUT,,PLOT,DELIGIANNAKI,PLOT PAYMENT,VAZEOU-VAZEOS,,DELIGIANNAKI 1/2 PAYMENT,1," € 275,000.00 "," € 275,000.00 ","-€ 275,000.00 ",,
10/27/2017,NKASA-A,EXP,,FIXTURE,SPDH,STATIONARY,,,Yangın tüpü,1, € 37.84 , € 37.84 ,-€ 37.84 ,,
10/27/2017,EB,OUT,,PLOT,DELIGIANNAKI,LEGAL EXPENSES,LAND REGISTRY,,DELIGIANNAKI LAND REGISTRY,1," € 3,000.00 "," € 3,000.00 ","-€ 3,000.00 ",,
10/30/2017,EB,EXP,,GENERAL EXPENSES,S BV,LEASE,REGUS,,S BV AMSTERDAM OFIS KIRASI,1, € 223.54 , € 223.54 ,-€ 223.54 ,,
10/30/2017,NKASA-A,EXP,,FIXTURE,SPDH,STATIONARY,,,Havlular,1, € 65.94 , € 65.94 ,-€ 65.94 ,,
10/31/2017,NKASA-A,OUT,,GENERAL EXPENSES,SPDH,OTHERS,CLEANING ,,Temizlik-Ekim,1, € 128.00 , € 128.00 ,-€ 128.00 ,,
10/31/2017,NKASA-A,EXP,,GENERAL EXPENSES,SPDH,OTHERS,FOOD & BEVERAGE,,Yiyecek-Ekim,1, € 7.00 , € 7.00 ,-€ 7.00 ,,
10/31/2017,NKASA-A,OUT,,GENERAL EXPENSES,SPDH,SALARY,MAVROMATI,,Maaş-Iliana,1," € 1,000.00 "," € 1,000.00 ","-€ 1,000.00 ",,
10/31/2017,VB-S BV,OUT,,GENERAL EXPENSES,S BV,BANKING FEES,VARENGOLD,,Neg. Interest,1, € 2.74 , € 2.74 ,-€ 2.74 ,,
10/31/2017,VB-S BV,OUT,,GENERAL EXPENSES,S BV,BANKING FEES,VARENGOLD,,Acc. Opening fee,1, € 300.00 , € 300.00 ,-€ 300.00 ,,
10/31/2017,VB-SH,OUT,,GENERAL EXPENSES,SPDH,BANKING FEES,VARENGOLD,,Acc. Opening fee,1, € 300.00 , € 300.00 ,-€ 300.00 ,,
10/31/2017,NKASA-A,EXP,,GENERAL EXPENSES,SPDH,TRANSPORT,TRANSPORTATION,,Yol-Ekim,1, € 96.50 , € 96.50 ,-€ 96.50 ,,
10/31/2017,NKASA-A,EXP,,FIXTURE,SPDH,STATIONARY,,,Kırtasiye-Ekim,1, € 48.35 , € 48.35 ,-€ 48.35 ,,
11/1/2017,NKASA-A,EXP,,FIXTURE,SPDH,STATIONARY,,,Drone alındı,1, € 599.00 , € 599.00 ,-€ 599.00 ,,
11/1/2017,EB,IN,,,,,,,INTEREST,1, € 0.27 , € 0.27 , € 0.27 ,,
11/2/2017,NKASA-A,OUT,,PLOT,IPSILANTOU,LEGAL EXPENSES,CADASTRAL OFFICE,,Ypsilantou kadastro onay,1, € 25.00 , € 25.00 ,-€ 25.00 ,,
11/2/2017,NKASA-A,EXP,,FIXTURE,SPDH,STATIONARY,,,Banyo aksesuarı,1, € 18.00 , € 18.00 ,-€ 18.00 ,,
11/3/2017,NKASA-I,IN,,CP,,,BA,,BA,1," € 50,000.00 "," € 50,000.00 "," € 50,000.00 ",,
11/3/2017,NKASA-I,OUT,,LOAN,S BV TO FB,LOAN TRANSFER,FB,,FB,1," € 50,000.00 "," € 50,000.00 ","-€ 50,000.00 ",,
11/7/2017,NKASA-A,OUT,,GENERAL EXPENSES,SPDH,STATIONARY,,,Kaşeler,1, € 51.00 , € 51.00 ,-€ 51.00 ,,
11/8/2017,MSM,IN,,CP,,,MSM,,MSM,1," € 200,000.00 "," € 200,000.00 "," € 200,000.00 ",,
11/8/2017,MSM,OUT,,PLOT,DELIGIANNAKI,PLOT PAYMENT,VAZEOU-VAZEOS,,PLOT PAYMENT,1," € 200,000.00 "," € 200,000.00 ","-€ 200,000.00 ",,
11/9/2017,EB,EXP,,FIXTURE,SPDH,OTHERS,,,IKEA DUVETS(YORGANLAR),1, € 312.43 , € 312.43 ,-€ 312.43 ,,
11/10/2017,NKASA-I,IN,,CP,,,BA,,BA,1," € 50,000.00 "," € 50,000.00 "," € 50,000.00 ",,
11/10/2017,EB,OUT,,GENERAL EXPENSES,SPDH,BANKING FEES,EB,,CURRENCY EXCHANGE COMM,1, € 2.50 , € 2.50 ,-€ 2.50 ,,
11/10/2017,NKASA-I,OUT,,LOAN,S BV TO FB,LOAN TRANSFER,FB,,FB,1," € 50,000.00 "," € 50,000.00 ","-€ 50,000.00 ",,
11/10/2017,MSM,OUT,,PLOT,DELIGIANNAKI,PLOT PAYMENT,VAZEOU-VAZEOS,,PLOT PAYMENT,1," € 75,000.00 "," € 75,000.00 ","-€ 75,000.00 ",,
11/10/2017,EB,IN,,INTERBOOK,SPDH TO SPDH,,,,TRANSFER FROM NKASA-A,1, € 390.00 , € 390.00 , € 390.00 ,,
11/10/2017,EB,EXP,,GENERAL EXPENSES,SPDH,TRANSPORT,FLIGHT TICKETS,,MSM FLIGHT TICKET,1, € 177.23 , € 177.23 ,-€ 177.23 ,,
11/13/2017,INVENTORY,INV_IN,,PLOT,IPSILANTOU,DEMOLITION PERMIT,GAVALAS,,YPSILANTOU DEMOL. PROCESS,1, € 900.00 , € 900.00 , € 900.00 ,,
11/13/2017,INVENTORY,INV_IN,,PLOT,DELIGIANNAKI,TOPOGRAFIC PLAN,GAVALAS,,TOPOGRAFIC PLAN,1, € 400.00 , € 400.00 , € 400.00 ,,
11/13/2017,NKASA-A,OUT,,CONSTRUCTION,DELIGIANNAKI,ARCH. SERVICES,GAVALAS,,Gavalas,1," € 4,266.00 "," € 4,266.00 ","-€ 4,266.00 ",,
11/13/2017,NKASA-A,OUT,,PLOT,DELIGIANNAKI,ARCH. SERVICES,GAVALAS,,DELIGIANNAKI TOPOG. PLAN,1, € 496.00 , € 496.00 ,-€ 496.00 ,,
11/13/2017,NKASA-A,OUT,,PLOT,DELIGIANNAKI,REAL ESTATE AGENCY FEE,KOSTAS VLACHOS,,Emlakçı Kostas - DELIGIANNAKI,1," € 15,000.00 "," € 15,000.00 ","-€ 15,000.00 ",,
11/13/2017,NKASA-A,OUT,,OFFICIAL SET UP,SPDH,MISC.,MISC.,,Karaiskakis MUHTELİF GİDER,1, € 100.00 , € 100.00 ,-€ 100.00 ,,
11/13/2017,INVENTORY,INV_IN,,PLOT,DELIGIANNAKI,REAL ESTATE AGENCY FEE,KOSTAS VLACHOS,,REAL ESTATE AGENCY FEE,1," € 15,000.00 "," € 15,000.00 "," € 15,000.00 ",,
11/13/2017,NKASA-A,OUT,,PLOT,IPSILANTOU,DEMOLITION PERMIT,GAVALAS,,YPSILANTOU DEMOL. PROCESS,1, € 972.00 , € 972.00 ,-€ 972.00 ,,
11/13/2017,NKASA-A,OUT,,CONSTRUCTION,IPSILANTOU,ARCH. SERVICES,GAVALAS,,Gavalas,1," € 4,266.00 "," € 4,266.00 ","-€ 4,266.00 ",,
11/13/2017,NKASA-A,IN,,PLOT,DELIGIANNAKI,PLOT PAYMENT,VAZEOU-VAZEOS,,Deligiannaki avans nakit iade,1," € 50,000.00 "," € 50,000.00 "," € 50,000.00 ",,
11/13/2017,NKASA-A,EXP,,PLOT,DELIGIANNAKI,PLOT PAYMENT,TAX OFFICE,,Deligiannaki vergi cezası SATICILARA ELDEN ODENDI,1," € 1,345.00 "," € 1,345.00 ","-€ 1,345.00 ",,
11/14/2017,NKASA-A,OUT,,LOAN,SPDH TO BA,LOAN TRANSFER,BA,,SHORT TERM LOAN,1," € 20,000.00 "," € 20,000.00 ","-€ 20,000.00 ",,
11/14/2017,NKASA-A,OUT,,INTERBOOK,SPDH TO SPDH,,,,TRANSFER TO EB,1, € 390.00 , € 390.00 ,-€ 390.00 ,,
11/15/2017,EB,OUT,,GENERAL EXPENSES,SPDH,BANKING FEES,EB,,OUTGOING TRANSFER FEE,1, € 2.15 , € 2.15 ,-€ 2.15 ,,
11/15/2017,EB,EXP,,OFFICIAL SET UP,SPDH,ACC. SERVICES,MAMALOUKOS,,SET-UP SERVICE - MAMALOUKOS,1, € 744.00 , € 744.00 ,-€ 744.00 ,,
11/15/2017,EB,EXP,,GENERAL EXPENSES,SPDH,ACC. SERVICES,MAMALOUKOS,,ACC. FEE - MAMALOUKOS,1, € 992.00 , € 992.00 ,-€ 992.00 ,,
11/15/2017,NKASA-A,OUT,,PLOT,DELIGIANNAKI,LEGAL EXPENSES,CADASTRAL OFFICE,,Cadastre ???,1, € 250.00 , € 250.00 ,-€ 250.00 ,,
11/16/2017,NKASA-A,OUT,,PLOT,DELIGIANNAKI,LEGAL EXPENSES,LAND REGISTRY,,Land Registry ???,1, € 219.00 , € 219.00 ,-€ 219.00 ,,
11/20/2017,EB,OUT,,GENERAL EXPENSES,SPDH,BANKING FEES,EB,,OUTGOING TRANSFER FEE,1, € 2.15 , € 2.15 ,-€ 2.15 ,,
11/20/2017,EB,EXP,,GENERAL EXPENSES,S BV,LEASE,REGUS,,S BV AMSTERDAM OFIS KIRASI,1, € 122.39 , € 122.39 ,-€ 122.39 ,,
11/20/2017,EB,OUT,,PLOT,IPSILANTOU,NOTARY ,THOMOPOULOU,,YPSILANTOU UNIFICATION - NOTARY FEE,1, € 443.00 , € 443.00 ,-€ 443.00 ,,
11/20/2017,EB,OUT,,PLOT,DELIGIANNAKI,NOTARY ,THOMOPOULOU,,DELIGIANNAKI NOTARY FEE,1," € 7,078.00 "," € 7,078.00 ","-€ 7,078.00 ",,
11/20/2017,EB,EXP,,OFFICIAL SET UP,SPDH,NOTARY,NOTARY FEE,,SPDH INCORP. NOTARY FEE,1," € 2,531.70 "," € 2,531.70 ","-€ 2,531.70 ",,
11/23/2017,EB,IN,,PLOT,DELIGIANNAKI,PLOT PAYMENT,TAX OFFICE,,DELIGIANN SELLERS' TAX FINE PAYBACK,1," € 1,342.89 "," € 1,342.89 "," € 1,342.89 ",,
11/24/2017,NKASA-A,IN,,CP,,,BA,,BA,1," € 15,000.00 "," € 15,000.00 "," € 15,000.00 ",,
11/24/2017,NKASA-I,IN,,CP,,,BA,,BA,1," € 85,000.00 "," € 85,000.00 "," € 85,000.00 ",,
11/24/2017,NKASA-A,OUT,,LOAN,S BV TO FB,LOAN TRANSFER,FB,,FB,1," € 15,000.00 "," € 15,000.00 ","-€ 15,000.00 ",,
11/24/2017,NKASA-I,OUT,,LOAN,S BV TO FB,LOAN TRANSFER,FB,,FB,1," € 135,000.00 "," € 135,000.00 ","-€ 135,000.00 ",,
11/24/2017,NKASA-I,IN,,LOAN,MSM TO S BV,LOAN TRANSFER,MSM,,G dan emanet,1," € 50,000.00 "," € 50,000.00 "," € 50,000.00 ",,
11/27/2017,EB,OUT,,GENERAL EXPENSES,SPDH,COMMUNICATION,COSMOTE,,COSMOTE MOBILE,1, € 819.27 , € 819.27 ,-€ 819.27 ,,
11/27/2017,EB,OUT,,GENERAL EXPENSES,SPDH,COMMUNICATION,COSMOTE,,COSMOTE LANDLINE,1, € 221.50 , € 221.50 ,-€ 221.50 ,,
11/27/2017,EB,OUT,,GENERAL EXPENSES,SPDH,BANKING FEES,EB,,OUTGOING TRANSFER FEE,1, € 2.15 , € 2.15 ,-€ 2.15 ,,
11/27/2017,INVENTORY,INV_IN,,PLOT,DELIGIANNAKI,VAT,KARAISKAKIS,,VAT,1, € 240.00 , € 240.00 , € 240.00 ,,
11/27/2017,INVENTORY,INV_IN,,PLOT,DELIGIANNAKI,LAWYER FEE,KARAISKAKIS,,DELIGIANNAKI LAWYER FEE-KARAISKAKIS,1," € 6,580.00 "," € 6,580.00 "," € 6,580.00 ",,
11/27/2017,EB,OUT,,PLOT,DELIGIANNAKI,LAWYER FEE,KARAISKAKIS,,DELIGIANNAKI LAWYER FEE-KARAISKAKIS,1," € 5,580.00 "," € 5,580.00 ","-€ 5,580.00 ",,
11/27/2017,NKASA-A,OUT,,GENERAL EXPENSES,SPDH,SALARY,MAVROMATI,,Iliana salary,1," € 1,000.00 "," € 1,000.00 ","-€ 1,000.00 ",,
11/30/2017,NKASA-A,OUT,,GENERAL EXPENSES,SPDH,OTHERS,CLEANING ,,Cleaning lady,1, € 112.00 , € 112.00 ,-€ 112.00 ,,
11/30/2017,NKASA-A,EXP,,GENERAL EXPENSES,SPDH,OTHERS,FOOD & BEVERAGE,,Supermarket,1, € 58.00 , € 58.00 ,-€ 58.00 ,,
11/30/2017,VB-S BV,OUT,,GENERAL EXPENSES,S BV,BANKING FEES,VARENGOLD,,Monthly fee,1, € 30.00 , € 30.00 ,-€ 30.00 ,,
